hrvw 害人之心不可有，防人之心不可无
gdly; 光打雷不下雨
gdwb 各打五十大板
gdzx 公道自在人心
gfys 股份有限公司
ggbu; 狗改不了吃屎
gjbm 恭敬不如从命
gney 敢怒而不敢言
gnuv 国内生产总值
grbl 果然不出所料
gthx 光天化日之下
gwgj 过五关斩六将
gytr 挂羊头卖狗肉
gytt 过一天算一天
gzyt 顾左右而言他
hbtl 化悲痛为力量
hdux 华东师范大学
hfxq 化腐朽为神奇
hggb 化干戈为玉帛
hhbb 好话不说二遍
hhbr 惶惶不可终日
hiyj 很长一段时间
hjhq 很久很久以前
hnux 华南师范大学
hsbh 好死不如赖活
htxj 滑天下之大稽
hubl 海水不可斗量
hvkx 华中科技大学
ibbn 吃不饱穿不暖
iblz 吃不了兜着走
ibzj 成败在此一举
idtv 吹得天花乱坠
igzm 陈谷子烂芝麻
ihut 丑话说在前头
irbt 吃人不吐骨头
irjd 吃人家的嘴短
itbt 长痛不如短痛
ivmz 陈芝麻烂谷子
ivyu 吹皱一池春水
jdlt 鸡蛋里挑骨头
jhul 姜还是老的辣
jiby; 家丑不可外扬
jjbr 岌岌不可终日
jksk 捷克斯洛伐克
jnel 九牛二虎之力
jrqw 拒人千里之外
jrum; 尽人事听天命
jrzx 吉人自有天相
jtdu 惊天地泣鬼神
jtsp 狡兔死走狗烹
jubr 今时不同往日
jubu; 井水不犯河水
junr 几十年如一日
juqw 决胜千里之外
jvly 加州理工学院
kdjv 看得见摸得着
khev 口惠而实不至
kwej 可望而不可即
lbqb 劣币驱逐良币
libz 驴唇不对马嘴
lllj 理论联系实际
lnfq 烂泥扶不上墙
lsbl 老死不相往来
lxjl 良心叫狗吃了
lybd; 立于不败之地
lyvv 流言止于智者
mbvu; 名不正言不顺
mkly 密克罗尼西亚
mnmr 某年某月某日
mrbh 明人不说暗话
mrbu 明人不做暗事
mrbz 骂人不带脏字
mulx 麻省理工大学
muly 麻省理工学院
mybs 没有别的意思
nbry 你不仁我不义
ndqx 拿得起放得下
nmgq 内蒙古自治区
nnuq 男女授受不亲
nrjr 拿人家的手软
ntbz 牛头不对马嘴
nzhf 男子汉大丈夫
plyh 碰了一鼻子灰
ptlx 抛头颅洒热血
pvyl 披着羊皮的狼
qbdl 气不打一处来
qdgy 七大姑八大姨
qdnf 千叮咛万嘱咐
qjbj 请将不如激将
qndt 强扭的瓜不甜
qrbj 求人不如求己
qyby 前言不搭后语
qyyn 求爷爷告奶奶
qzdu 穷则独善其身
rgly 热锅里的蚂蚁
rguy 热锅上的蚂蚁
rrdv 人人得而诛之
rrwj 如入无人之境
rsbs 人算不如天算
rutg 人是铁饭是钢
rxqy 人心齐泰山移
rydf 人有旦夕祸福
sbbb 三步并作两步
scbu 三寸不烂之舌
smdy 死马当活马医
swzd 死无葬身之地
sydx 所以动心忍性
tfid 头发长见识短
tjbl 天机不可泄露
tjjl 团结就是力量
tstt 太岁头上动土
tudh 天时地利人和
twjl 天无绝人之路
tyby 天有不测风云
tznu 天作孽犹可恕
ubvj 神不知鬼不觉
uccd 说曹操曹操到
ugmt 视功名如粪土
uhux 上海师范大学
ujyd 杀鸡焉用牛刀
ullq 水里来火里去
umvf 生米煮成熟饭
umzf 生米做成熟饭
unpi 说你胖你就喘
uqbq 上气不接下气
uqnu 双拳难敌四手
urzj 山人自有妙计
uubv 伸手不见五指
uuub 事实胜于雄辩
uvqy 水至清则无鱼
uwfl 手无缚鸡之力
uwvs 士为知己者死
uylx 上有老下有小
uyqw 说一千道一万
uyss 生于斯长于斯
vbuv 这不是明摆着
vfgg 政府工作报告
vgkx; 中国科技大学
vgrx 中国人民大学
vgux 中国石油大学
vgvx 中国政法大学
vibv 忠臣不事二主
vjbl 真金不怕火炼
vvtg 政治体制改革
vxbq 忠孝不能两全
vxvh 只许州官放火
vygt 中央广播电台
vyrf 中央人民政府
vyyy 睁一眼闭一眼
wbbz 万变不离其宗
wkld 挽狂澜于既倒
wktl 唯恐天下不乱
wlcx 无理寸步难行
wmbm 闻名不如见面
wsbj 无所不用其极
wubb 五十步笑百步
wwmd 万万没有想到
wzbt 乌兹别克斯坦
xajx 西安交通大学
xgbi 响鼓不需重锤
xgjx 香港浸会大学
xgkx 香港科技大学
xglx 香港理工大学
xlbe 迅雷不及掩耳
xlil 心理承受能力
xqlj 小桥流水人家
xvyv 闲着也是闲着
xxrz 先小人后君子
xyii; 想一出是一出
ybbb; 以不变应万变
ybun 一把屎一把尿
ybxq 咽不下这口气
ybyy; 一步一个脚印
ydsb 亚的斯亚贝巴
ydyy 有多远滚多远
yfqh 一分钱一分货
ygbq 一个鼻孔出气
ygtd 一个头两个大
yhqx 又好气又好笑
yiub 一传十十传百
yiwv 运筹帷幄之中
ykbv 一客不烦二主
ylbg 有理不在声高
ylzx 有理走遍天下
ypzl 有朋自远方来
yqdn 一切都有可能
yqjn 一切皆有可能
yqti 异曲同工之处
yqtm 异曲同工之妙
ytdh 一条道跑到黑
ytlh 一条路跑到黑
yvbg 有志不在年高
yvvi 有志者事竟成
yxbi; 英雄不问出处
yxby; 一心不能二用
yxmi 英雄莫问出处
yxst 英雄所见略同
yxzs 有限责任公司
yybu; 有眼不识泰山
zwgh 自我感觉良好
zybb 走一步看一步
zyqn 增益其所不能
zznh 自作孽不可活
oqhx; /huaix
oqql /qiang
oqtj /zuotj
oqtj; /youtj
oquk /shuai
oqxu /xu...
aej 阿尔及利亚
blr 病来如山倒
cmt 从明天开始
gqb 顾前不顾后
gyl 狗咬吕洞宾
htb 换汤不换药
nyb 哪有不湿鞋
ubk 是不可能的
unb 少年不努力
urb 杀人不见血
vna 智能ABC
vyg 只要功夫深
wge 温故而知新
wrm 为人民服务
yms 一亩三分地
yny 一年又一年
yvq 一朝权在手
yws 一问三不知
ywx 一物降一物
aeby 阿尔巴尼亚
aejy 阿尔及利亚
afet 埃菲尔铁塔
albz 阿拉伯数字
alyz 挨了一顿揍
amsd 阿姆斯特丹
asey 埃塞俄比亚
avyu 爱之欲其生
bbbd 不比不知道
bblx 便把令来行
bbrd 兵败如山倒
bdbt 不得不低头
bdbu; 不打不相识
bdtn; 比登天还难
beuk 布尔什维克
